% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:51
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
1.973267483273261E-4      1.0227792210380365E-11
1.9775455354262893E-4     9.95772689934845E-12
1.9818235875793174E-4     9.689290063043392E-12
1.9861016397323456E-4     9.42250631993405E-12
1.9903796918853734E-4     9.157397733428437E-12
1.9946577440384014E-4     8.893964303526556E-12
1.9989357961914297E-4     8.6322060302284E-12
2.0032138483444577E-4     8.372122913533982E-12
2.0074919004974857E-4     8.11371495344329E-12
2.0117699526505138E-4     7.85698214995633E-12
2.0160480048035418E-4     7.601947848070918E-12
2.02032605695657E-4       7.348632793168651E-12
2.024604109109598E-4      7.097036985249532E-12
2.0288821612626264E-4     6.8471604243135596E-12
2.0331602134156544E-4     6.599003110360737E-12
2.0374382655686824E-4     6.352565043391058E-12
2.0417163177217107E-4     6.107846223404528E-12
2.0459943698747387E-4     5.864868691308634E-12
2.0502724220277665E-4     5.623651846644746E-12
2.0545504741807945E-4     5.3841956894128616E-12
2.0588285263338225E-4     5.146500219612982E-12
2.0631065784868508E-4     4.9105654372451116E-12
2.0673846306398786E-4     4.676391342309242E-12
2.0716626827929066E-4     4.443977934805379E-12
2.0759407349459349E-4     4.213345922501063E-12
2.080218787098963E-4      3.984513332876733E-12
2.084496839251991E-4      3.757480165932385E-12
2.0887748914050192E-4     3.5322464216680207E-12
2.0930529435580472E-4     3.3088121000836417E-12
2.0973309957110755E-4     3.087177201179245E-12
2.1016090478641035E-4     2.8673417249548334E-12
2.1058871000171318E-4     2.649325018567096E-12
2.1101651521701598E-4     2.4331437128474336E-12
2.1144432043231876E-4     2.2187978077958462E-12
2.118721256476216E-4      2.006287303412334E-12
2.1229993086292436E-4     1.7956121996968984E-12
2.127277360782272E-4      1.5867724966495372E-12
2.1315554129353E-4        1.3797681942702516E-12
2.1358334650883282E-4     1.1746172532554302E-12
2.140111517241356E-4      9.713348848417318E-13
2.144389569394384E-4      7.699210890291566E-13
2.1486676215474123E-4     5.703758658177046E-13
