% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 26 2025, 17:26
% Dimension:          1
% Nodes:              593
% Expressions:        2
% Description:        Global
% freq (Hz)               Re xi all, Im xi all     Re xi all, Im xi all
130817.74742601928        -3.562102325215685E-11   1.2186618281890927E-11
133352.1432163324         -3.5990169535708535E-11  1.2656737930975087E-11
135935.6390878527         -3.6376885610436486E-11  1.3166407597594188E-11
138569.18628031274        -3.6781583236055753E-11  1.37198588493804E-11
141253.75446227554        -3.720453268134994E-11   1.4321889604275723E-11
143990.33208816327        -3.764580544872847E-11   1.4977950387991133E-11
146779.92676220706        -3.810519700762808E-11   1.5694242344797936E-11
149623.5656094433         -3.8582125800420625E-11  1.6477830356072333E-11
152522.29565390197        -3.907549972584111E-11   1.7336771273664594E-11
155477.18420411728        -3.958354000959268E-11   1.8280257779023124E-11
158489.3192461114         -4.0103549856306814E-11  1.9318777770706103E-11
161559.80984398728        -4.0631609289516366E-11  2.0464284920083304E-11
164689.78654828688        -4.1162174206237315E-11  2.173037399907109E-11
167880.4018122559         -4.1687549764495354E-11  2.313244636543833E-11
171132.8304161781         -4.219720324373021E-11   2.4687844324564563E-11
174448.26989992525        -4.267686856888297E-11   2.641590896017297E-11
177827.94100389228        -4.3107394101477085E-11  2.8337901693245414E-11
181273.0881184697         -4.3463276151426296E-11  3.047668047893907E-11
184784.97974222907        -4.371083262256321E-11   3.285597354326303E-11
188364.9089489802         -4.380600042917084E-11   3.5499011994357774E-11
192014.19386388012        -4.36918155998719E-11    3.8426182603001596E-11
195734.17814876616        -4.32957871771001E-11    4.1651239673311154E-11
199526.2314968879         -4.2527657052820806E-11  4.517552789477811E-11
203391.7501372293         -4.127849296012576E-11   4.897965858645255E-11
207332.1573485954         -3.942272461557885E-11   5.3012357396240526E-11
211348.90398366476        -3.682550421386509E-11   5.7177005289612405E-11
215443.46900318822        -3.335828419585022E-11   6.1318060410696E-11
219617.36002054368        -2.8924937313091806E-11  6.521218393546851E-11
220000.0000000002         -2.847325083121753E-11   6.554375619553217E-11
220507.1523771383         -2.7863143183568112E-11  6.597521853713842E-11
221015.473861247          -2.723868346290849E-11   6.639806176364507E-11
221524.96714739717        -2.659995491061539E-11   6.68117206959944E-11
222035.63493687054        -2.594706511470434E-11   6.721562481134496E-11
222547.47993717782        -2.5280148791667794E-11  6.760919779232583E-11
223060.5048620698         -2.459936745206038E-11   6.799185990860574E-11
223574.71243155305        -2.3904910409319253E-11  6.836302904808182E-11
224090.10537190593        -2.31969943036698E-11    6.872212315950732E-11
224606.68641568997        -2.2475866454823135E-11  6.906855971005427E-11
225124.458301766          -2.1741802404878305E-11  6.940175934660579E-11
225643.42377530993        -2.09951083338758E-11    6.97211463967082E-11
226163.58558782414        -2.0236119617025204E-11  7.002615148243665E-11
226684.9464971557         -1.9465202642077416E-11  7.031621248402677E-11
227207.50926750776        -1.8682754337869447E-11  7.059077664439919E-11
227731.27666945566        -1.788920112849094E-11   7.084930305187797E-11
228256.251479963          -1.7085000089947566E-11  7.109126372946459E-11
228782.43648239342        -1.6270637745248633E-11  7.131614605562003E-11
229309.83446652698        -1.5446630077449217E-11  7.152345452470242E-11
229838.44822857628        -1.4613521647453047E-11  7.171271273474711E-11
230368.28057119786        -1.3771884510133942E-11  7.188346539814416E-11
230899.33430351104        -1.2922318323378129E-11  7.203527999001882E-11
231431.61224110937        -1.2065448326923467E-11  7.216774880205132E-11
231965.11720607697        -1.1201923499858521E-11  7.228049099317089E-11
232499.85202700508        -1.0332417019132144E-11  7.237315371983332E-11
233035.81953900395        -9.457624146089516E-12   7.244541410154276E-11
233573.02258371952        -8.578259494952986E-12   7.249698086860416E-11
234111.46400934982        -7.69505594459388E-12    7.25275958131097E-11
234651.1466706567         -6.8087633116283286E-12  7.253703489181383E-11
235192.0734289849         -5.9201459073798486E-12  7.252510961709154E-11
235734.24715227375        -5.0299802188651836E-12  7.249166809803625E-11
236277.67071507388        -4.139052961394156E-12   7.243659595925622E-11
236822.3469985639         -3.2481586925429787E-12  7.235981710740258E-11
237368.27889056274        -2.3580978826548386E-12  7.226129426686528E-11
237915.46928554645        -1.4696745084227982E-12  7.214102951434148E-11
238463.92108466505        -5.836919617581198E-13   7.199906449845398E-11
239013.6371957544         2.990467246421201E-13    7.183548040873042E-11
239564.6205333555         1.1777422360419157E-12   7.165039811566531E-11
240000.00000000017        1.8672771908378136E-12   7.148939250392778E-11
244649.63662532988        8.875130025758838E-12    6.901008656259272E-11
249389.35292044075        1.5103978086199332E-11   6.527732695579577E-11
254220.89404254974        2.0272879962863096E-11   6.062040105038453E-11
259146.03895865046        2.4256928890829766E-11   5.5418110875952037E-11
264166.6011005307         2.707425678314262E-11    5.00255296042195E-11
269284.4290324713         2.884426838471567E-11    4.472679152565519E-11
274501.40713188954        2.973914509004283E-11    3.9718507455952976E-11
279819.45628315967        2.994399599940847E-11    3.511584282517657E-11
