% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:39
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
7.430979642592586E-5      1.8338098348509337E-11
7.44798653027206E-5       1.831561168568785E-11
7.464993417951538E-5      1.8293087624676592E-11
7.482000305631013E-5      1.8270526473764053E-11
7.499007193310491E-5      1.8247928232950234E-11
7.516014080989968E-5      1.8225292902235134E-11
7.533020968669444E-5      1.8202620481618757E-11
7.55002785634892E-5       1.81799109711011E-11
7.567034744028397E-5      1.8157164638919258E-11
7.584041631707873E-5      1.813438180002964E-11
7.601048519387348E-5      1.8111562454432232E-11
7.618055407066824E-5      1.8088706602127052E-11
7.6350622947463E-5        1.8065814243114094E-11
7.652069182425776E-5      1.8042885377393356E-11
7.669076070105252E-5      1.8019920276048435E-11
7.686082957784729E-5      1.799691926102533E-11
7.703089845464205E-5      1.7973882332324036E-11
7.72009673314368E-5       1.795080948994456E-11
7.737103620823156E-5      1.7927700733886905E-11
7.754110508502633E-5      1.7904556064151063E-11
7.771117396182109E-5      1.7881375754695705E-11
7.788124283861586E-5      1.7858160134835698E-11
7.805131171541062E-5      1.783490920457104E-11
7.822138059220538E-5      1.7811622963901732E-11
7.839144946900015E-5      1.7788301412827774E-11
7.856151834579491E-5      1.776494455134917E-11
7.873158722258968E-5      1.77415526562935E-11
7.890165609938444E-5      1.7718126064794206E-11
7.907172497617919E-5      1.7694664776851283E-11
7.924179385297395E-5      1.7671168792464732E-11
7.941186272976872E-5      1.7647638111634556E-11
7.958193160656348E-5      1.7624072734360748E-11
7.975200048335824E-5      1.760047294034476E-11
7.992206936015301E-5      1.757683907502058E-11
8.009213823694777E-5      1.75531711383882E-11
8.026220711374252E-5      1.7529469130447624E-11
8.04322759905373E-5       1.750573305119886E-11
8.060234486733205E-5      1.7481962900641898E-11
8.077241374412683E-5      1.745815896139068E-11
8.094248262092158E-5      1.7434321587687564E-11
8.111255149771634E-5      1.7410450779532556E-11
8.12826203745111E-5       1.7386546536925654E-11
8.145268925130588E-5      1.736260885986686E-11
8.162275812810063E-5      1.733863774835617E-11
8.179282700489541E-5      1.7314633487955878E-11
8.196289588169016E-5      1.729059644229559E-11
8.213296475848491E-5      1.726652661137531E-11
8.230303363527969E-5      1.7242423995195037E-11
8.247310251207444E-5      1.7218288593754774E-11
8.26431713888692E-5       1.7194120407054514E-11
8.281324026566398E-5      1.7169919723595782E-11
8.298330914245874E-5      1.7145686917100122E-11
8.31533780192535E-5       1.7121421987567538E-11
8.332344689604827E-5      1.7097124934998027E-11
8.349351577284304E-5      1.707279575939159E-11
8.36635846496378E-5       1.704843446074823E-11
8.383365352643258E-5      1.7024041330424207E-11
8.400372240322733E-5      1.699961675310846E-11
8.417379128002208E-5      1.6975160728800975E-11
8.434386015681686E-5      1.6950673257501762E-11
8.45139290336116E-5       1.6926154339210823E-11
8.468399791040637E-5      1.6901603973928152E-11
8.485406678720113E-5      1.6877022455859944E-11
8.50241356639959E-5       1.6852410181576252E-11
8.519420454079065E-5      1.6827767151077077E-11
8.536427341758541E-5      1.6803093364362418E-11
8.553434229438016E-5      1.677838882143228E-11
8.570441117117493E-5      1.6753653522286656E-11
8.587448004796969E-5      1.6728887763922732E-11
8.604454892476445E-5      1.6704091955912486E-11
8.621461780155922E-5      1.667926609825592E-11
8.638468667835397E-5      1.6654410190953027E-11
8.655475555514873E-5      1.6629524234003817E-11
8.67248244319435E-5       1.660460822740828E-11
8.689489330873826E-5      1.6579662470844977E-11
8.706496218553302E-5      1.6554687388285363E-11
8.723503106232779E-5      1.6529682979729443E-11
8.740509993912255E-5      1.650464924517721E-11
8.757516881591731E-5      1.647958618462867E-11
8.774523769271208E-5      1.6454493798083818E-11
8.791530656950684E-5      1.6429372388044437E-11
8.80853754463016E-5       1.6404222394339316E-11
8.825544432309636E-5      1.6379043816968447E-11
8.842551319989112E-5      1.635383665593184E-11
8.859558207668588E-5      1.6328600911229488E-11
8.876565095348065E-5      1.6303336582861394E-11
8.893571983027541E-5      1.6278043976403713E-11
8.910578870707019E-5      1.6252723549325097E-11
8.927585758386494E-5      1.622737530162554E-11
8.94459264606597E-5       1.620199923330505E-11
8.961599533745447E-5      1.6176595344363627E-11
8.978606421424923E-5      1.6151163634801266E-11
8.9956133091044E-5        1.6125704413849513E-11
9.012620196783876E-5      1.610021815863959E-11
9.029627084463352E-5      1.60747048691715E-11
9.046633972142827E-5      1.6049164545445246E-11
9.063640859822305E-5      1.6023597187460823E-11
9.08064774750178E-5       1.5998002795218234E-11
9.097654635181258E-5      1.5972381682830227E-11
9.114661522860733E-5      1.594673434912223E-11
