% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
1.3155650319829424E-4     6.246548600932514E-11
1.3198294243070362E-4     6.22056915373682E-11
1.32409381663113E-4       6.194580936206855E-11
1.3283582089552239E-4     6.168583948342622E-11
1.3326226012793177E-4     6.142580239523227E-11
1.3368869936034115E-4     6.116571931260073E-11
1.3411513859275053E-4     6.09055902355316E-11
1.345415778251599E-4      6.064541516402486E-11
1.349680170575693E-4      6.038519409808058E-11
1.3539445628997867E-4     6.012492703769868E-11
1.3582089552238805E-4     5.98646139828792E-11
1.3624733475479743E-4     5.96042754220195E-11
1.3667377398720682E-4     5.934393242181731E-11
1.371002132196162E-4      5.908358498227267E-11
1.3752665245202558E-4     5.882323310338555E-11
1.3795309168443496E-4     5.8562876785156E-11
1.3837953091684434E-4     5.830251602758395E-11
1.3880597014925372E-4     5.804215083066946E-11
1.392324093816631E-4      5.778180164744744E-11
1.3965884861407248E-4     5.752148936631414E-11
1.4008528784648186E-4     5.726121398726961E-11
1.4051172707889124E-4     5.7000975510313806E-11
1.4093816631130063E-4     5.674077393544677E-11
1.4136460554371E-4        5.6480609262668455E-11
1.417910447761194E-4      5.62204814919789E-11
1.422174840085288E-4      5.5960411011107037E-11
1.4264392324093815E-4     5.5700418500478574E-11
1.4307036247334753E-4     5.544050396009349E-11
1.4349680170575694E-4     5.518066738995183E-11
1.4392324093816635E-4     5.492090879005357E-11
1.443496801705757E-4      5.466122816039869E-11
1.447761194029851E-4      5.440162550098722E-11
1.452025586353945E-4      5.4142121104366596E-11
1.4562899786780387E-4     5.388273541358024E-11
1.4605543710021325E-4     5.36234684286281E-11
1.4648187633262263E-4     5.3364320149510204E-11
1.4690831556503201E-4     5.3105290576226584E-11
1.473347547974414E-4      5.284637970877717E-11
1.4776119402985075E-4     5.258758754716203E-11
1.4818763326226013E-4     5.232893425898538E-11
1.486140724946695E-4      5.207044002079458E-11
1.490405117270789E-4      5.181210483258963E-11
1.4946695095948827E-4     5.1553928694370547E-11
1.4989339019189766E-4     5.129591160613733E-11
1.5031982942430704E-4     5.103805356788995E-11
1.5074626865671642E-4     5.078035457962843E-11
1.511727078891258E-4      5.052283465440206E-11
1.5159914712153518E-4     5.026551367349005E-11
1.5202558635394456E-4     5.000839163689238E-11
1.5245202558635394E-4     4.9751468544609076E-11
1.5287846481876332E-4     4.949474439664014E-11
1.533049040511727E-4      4.923821919298554E-11
1.5373134328358208E-4     4.898189293364531E-11
1.5415778251599147E-4     4.872578544770285E-11
1.5458422174840087E-4     4.8469916292771174E-11
1.5501066098081023E-4     4.821428546885026E-11
1.5543710021321964E-4     4.795889297594012E-11
1.5586353944562902E-4     4.7703738814040784E-11
1.5628997867803837E-4     4.744882298315219E-11
1.5671641791044778E-4     4.719414548327439E-11
1.5714285714285716E-4     4.693972593035325E-11
1.5756929637526654E-4     4.6685583530355715E-11
1.5799573560767592E-4     4.6431718283281796E-11
1.584221748400853E-4      4.617813018913148E-11
1.5884861407249468E-4     4.5924819247904793E-11
1.5927505330490407E-4     4.56717854596017E-11
1.5970149253731345E-4     4.541902882422223E-11
1.6012793176972283E-4     4.5166568715682295E-11
1.605543710021322E-4      4.491442396077714E-11
1.609808102345416E-4      4.466259455950677E-11
1.6140724946695097E-4     4.441108051187118E-11
1.6183368869936035E-4     4.4159881817870386E-11
1.6226012793176973E-4     4.3908998477504365E-11
1.6268656716417911E-4     4.365843049077313E-11
1.631130063965885E-4      4.3408196960990435E-11
1.6353944562899788E-4     4.3158316308745383E-11
1.6396588486140726E-4     4.2908788534037945E-11
1.6439232409381664E-4     4.265961363686814E-11
1.6481876332622602E-4     4.2410791617235985E-11
1.652452025586354E-4      4.2162322475141445E-11
1.6567164179104478E-4     4.1914206210584544E-11
1.6609808102345416E-4     4.1666461628063656E-11
1.6652452025586354E-4     4.141910671545454E-11
1.6695095948827292E-4     4.11721414727572E-11
1.673773987206823E-4      4.092556589997163E-11
1.6780383795309169E-4     4.0679379997097836E-11
1.6823027718550107E-4     4.043358376413581E-11
1.6865671641791045E-4     4.0188177201085565E-11
1.6908315565031983E-4     3.994317878581512E-11
1.695095948827292E-4      3.969860604754122E-11
1.699360341151386E-4      3.945445898626388E-11
1.7036247334754797E-4     3.921073760198309E-11
1.7078891257995735E-4     3.8967441894698854E-11
1.7121535181236673E-4     3.8724571864411164E-11
1.7164179104477612E-4     3.848212751112003E-11
1.720682302771855E-4      3.824012695868469E-11
1.7249466950959488E-4     3.7998587252311946E-11
1.7292110874200426E-4     3.7757508392001794E-11
1.7334754797441364E-4     3.751689037775423E-11
1.7377398720682302E-4     3.7276733209569265E-11
1.742004264392324E-4      3.703703688744689E-11
1.7462686567164178E-4     3.6797801411387106E-11
1.7505330490405116E-4     3.655904452433457E-11
